,(1),(2),(3),(4),(5),(6)
,Agriculture,Chemicals,Machinery,Minerals,Textiles,Transport
,,,,,,
,,,,,,
Log variety,-0.0000925,0.000459,-0.000893*,0.00400***,0.000127,0.00192***
,(0.000242),(0.000444),(0.000386),(0.000859),(0.000150),(0.000330)
,,,,,,
Price effect,0.000587,0.00192,0.00250,-0.00912**,0.00373***,-0.00166
,(0.00104),(0.00171),(0.00136),(0.00353),(0.000725),(0.00132)
,,,,,,
Log Labor,0.0000980,0.000269,-0.000215,0.000447,0.000198**,0.000285
,(0.000129),(0.000195),(0.000166),(0.000371),(0.0000698),(0.000163)
,,,,,,
R-sq,0.012,0.032,0.059,0.200,0.541,0.271
,,,,,,
Standard errors in parentheses,,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,
